
'TN ABC 123','4','','TONS','','Small vehicle','','eicher 14 feet'
TN ABC 124','9','','TONS','','Small vehicle','','tata truck (6 tyre)
TN ABC 125','22','','TONS','','Large vehicle','','volvo fm 400 hd
TN ABC 126','16','','TONS','','Large vehicle','','taurus 16 t (10 tyre)
TN ABC 127','27','','TONS','','Large vehicle','','BharatBenz 5528TT
TN ABC 128','0.6','','TONS','','Small vehicle','','Maruti Suzuki Super Carry
TN ABC 129','23','','TONS','','Large vehicle','','Tata Signa 4225.TK Tipper
TN ABC 130','1','','TONS','','Small vehicle','','ashok leyland dost
TN ABC 131','1.5','','TONS','','Small vehicle','','mahindra bolero pick up
TN ABC 132','5','','TONS','','Small vehicle','','eicher 17 feet
TN ABC 133','0.8','','TONS','','Small vehicle','','Tata Ace gold
TN ABC 134','2.5','','TONS','','Small vehicle','','tata 407
TN ABC 135','9','','TONS','','Small vehicle','','eicher 19 feet
TN ABC 136','1.3','','TONS','','Small vehicle','','Tata Intra V30
TN ABC 137','1.3','','TONS','','Small vehicle','','Mahindra Bolero Maxitruck Plus
TN ABC 138','25','','TONS','','Large vehicle','','taurus 25 t (14 tyre)
TN ABC 139','0.85','','TONS','','Small vehicle','','tata ace
TN ABC 140','21','','TONS','','Large vehicle','','taurus 21 t (12 tyre)
TN ABC 141','10','','TONS','','Large vehicle','','tata 22 feet
TN ABC 142','17','','TONS','','Large vehicle','','Mahindra Blazo X 42 PUSHER AXLE
